url,size_of_downloaded_page (in bytes),number_of_outlinks,content_type
https://www.latimes.com/food/la-fo-gold-20130615-story.html,280288,163,text/html
https://www.latimes.com/la-hm-la-affairs-submission-guidelines-htmlstory.html,235028,149,text/html
https://www.latimes.com/espanol/deportes/articulo/2023-03-06/george-y-leonard-brillan-clippers-ganan-a-grizzlies-135-129,236780,107,text/html
https://www.latimes.com/food/list/where-to-indulge-in-caviar-service-in-los-angeles,434781,211,text/html
https://www.latimes.com/california/story/2020-05-18/fire-and-police-investigators-work-to-determine-cause-of-downtown-explosion-that-injured-12,276275,172,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-05/gran-bretana-reafirma-su-soberania-sobre-las-islas-malvinas,215685,100,text/html
https://www.latimes.com/food,600502,272,text/html
https://www.latimes.com/espanol/educacion,302830,120,text/html
https://www.latimes.com/food/story/2023-02-03/isla-wood-fired-pop-up-santa-monica-crudo-e-nudo,273062,165,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2022-08-25/restaurantes-en-refugios-antibombas-para-combatir-el-calor,225392,102,text/html
https://www.latimes.com/espanol/california/articulo/2022-12-28/escenas-de-abusos-sexuales-en-el-departamento-de-libertad-condicional-del-condado,229969,100,text/html
https://www.latimes.com/executive-team,407555,203,text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/embedVaccines/,756455,11,text/html
https://www.latimes.com/lifestyle/story/2023-02-28/usal-project-outdoor-research-center-nature-club-los-angeles,348356,163,text/html
https://www.latimes.com/topic/theater,350480,188,text/html
https://www.latimes.com/bestcovery/,88363,52,text/html
https://www.latimes.com/espanol/california/articulo/2023-01-30/decimos-que-estamos-conmocionados-pero-en-realidad-no-lo-estamos,226752,99,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-03-06/tras-mundial-argentina-tiene-los-ojos-puestos-en-los-oscar,237381,95,text/html
https://www.latimes.com/entertainment/tv/la-ca-st-conversation-katie-couric-20160508-story.html,282661,171,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-02-16/kiosco-digital-edicion-vecinos-de-boyle-heights-reclaman-que-se-descontaminen-sus-casas-kiosco-digital,210283,107,text/html
https://www.latimes.com/lifestyle/list/tennis-courts-in-los-angeles,411126,202,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-05/jurado-en-ee-uu-sopesa-el-lado-sucio-del-futbol,255353,109,text/html
https://www.latimes.com/espanol/deportes/articulo/2023-03-07/el-clasico-mundial-regresa-con-mas-estrellas-mas-global,251129,108,text/html
https://www.latimes.com/entertainment-arts/tv,340514,181,text/html
https://www.latimes.com/subscriptions/print.html,35333,22,text/html
https://www.latimes.com/people/ross-may,201772,140,text/html
https://www.latimes.com/staff/cindy-carcamo,234110,150,text/html
https://www.latimes.com/people/christi-carras,229620,152,text/html
https://www.latimes.com/recipe/list/super-bowl-dips,321744,175,text/html
https://www.latimes.com/food/story/2023-02-02/mississippi-delta-hot-tamales-la-california,339291,158,text/html
https://www.latimes.com/opinion/story/2022-12-29/abortion-privacy-data-tracking-health-websites,274223,175,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-02-28/complicado-retorno-para-quien-modifico-bebes-geneticamente,237494,101,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2022-12-13/espectaculos-sobre-hielo-la-magia-de-la-navidad-y-buena-musica-para-divertirte-este-fin-de-semana,239036,103,text/html
https://www.latimes.com/about/for-the-record/,245630,146,text/html
https://www.latimes.com/about/diversity-inclusion,236965,139,text/html
https://www.latimes.com/espanol/eeuu/articulo/2022-08-20/wendys-deja-de-servir-lechuga-ante-brote-de-e-coli,218442,102,text/html
https://www.latimes.com/business/story/2023-03-07/wall-street-journal-asks-us-to-weep-for-the-very-very-rich,296901,175,text/html
https://www.latimes.com/california/story/2022-10-09/city-council-leaked-audio-nury-martinez-kevin-de-leon-gil-cedillo,355081,196,text/html
https://www.latimes.com/entertainment/gossip/la-et-mg-selena-gomez-lupus-chemotherapy-rehab-20151008-story.html,248341,166,text/html
https://www.latimes.com/food/story/2023-02-14/bar-chelou-pasadena-modern-bistro-villas-tacos,293718,157,text/html
https://www.latimes.com/lifestyle/story/2022-12-05/working-out-while-high-with-stoned-and-toned-in-los-angeles,302928,153,text/html
https://www.latimes.com/subscriptions/images/lat/logo-lat-160x20-000.svg,16319,0,image/svg+xml
https://www.latimes.com/espanol/eeuu/articulo/2023-03-02/eeuu-nevada-en-costa-pacifico-es-unica-en-una-generacion,216286,100,text/html
https://www.latimes.com/entertainment-arts/business/story/2023-03-07/top-gun-maverick-ukraine-academy-tom-cruise-paramount,270259,170,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-03-07/2-kidnapped-americans-found-dead-mexico-2-others-alive,212994,96,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-05/eeuu-piden-se-permita-a-acusado-utilizar-telefono-plegable,220835,101,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-02-09/kiosco-digital-edicion-9-febrero-el-terremoto-en-turquia-un-serio-recordatorio-para-california-kiosco-digital,212963,110,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-07/produccion-de-comida-podria-agravar-calentamiento-para-2100,223695,100,text/html
https://www.latimes.com/california/story/2023-03-05/southern-california-los-angeles-weather-rain-dry-week,251372,156,text/html
https://www.latimes.com/lifestyle/story/2023-01-27/la-affairs-married-to-a-man-but-dating-women,253763,153,text/html
https://www.latimes.com/topic/arts,349633,187,text/html
https://www.latimes.com/lifestyle/story/2020-10-09/what-i-learned-from-my-breast-cancer-diagnosis-melinda-fulmer,280339,164,text/html
https://www.latimes.com/about/studios,438302,208,text/html
https://www.latimes.com/world-nation/story/2022-05-03/roe-vs-wade-in-jeopardy,634053,286,text/html
https://www.latimes.com/world-nation/story/2023-01-03/fda-finalizes-rule-allowing-mail-order-abortion-pills,258067,155,text/html
https://www.latimes.com/archives/la-xpm-1993-05-30-tv-41389-story.html,262651,157,text/html
https://www.latimes.com/espanol/articulo/2023-02-28/la-county-to-end-covid-state-of-emergency-in-march,219296,104,text/html
https://www.latimes.com/food/story/2023-02-20/international-snacks-chips-drinks-exotics-only-los-angeles,257132,172,text/html
https://www.latimes.com/lifestyle/story/2023-02-12/how-la-fell-in-love-with-love-song-dedication-shows,334409,181,text/html
https://www.latimes.com/sports/hockey/story/2023-03-06/kings-vs-washington-capitals-coverage-nhl-recap,232175,147,text/html
https://www.latimes.com/people/stephanie-breijo,231583,152,text/html
https://www.latimes.com/espanol/california/articulo/2022-12-23/la-este-desfase-plantea-interrogantes-sobre-si-las-familias-estudiantes,249754,102,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-03-01/the-prosecutor-and-the-actor-who-plays-him-on-taking-down-argentinas-military-regime,262934,152,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-03-01/aceite-de-oliva-en-el-cafe-idea-causa-curiosidad-en-italia,269122,116,text/html
https://www.latimes.com/entertainment/gossip/la-et-mg-selena-gomez-justin-bieber-dating-back-together-20140618-story.html,251385,169,text/html
https://www.latimes.com/lifestyle/story/2022-08-02/setting-good-boundaries-makes-you-better-friend-3-keys-will-get-you-started,316978,164,text/html
https://www.latimes.com/espanol/etiqueta/nota-roja.rss,135593,0,application/xml
https://www.latimes.com/politics/story/2023-02-21/democratic-governors-form-alliance-on-abortion-rights,261850,155,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-02-16/china-dice-que-ha-vencido-decisivamente-a-la-pandemia,204191,94,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-03-04/estudio-la-equitacion-se-remonta-a-5-000-anos-de-antiguedad,216083,99,text/html
https://www.latimes.com/espanol/deportes/articulo/2022-12-10/rafael-marquez-entre-nuevos-miembros-de-salon-de-la-fama,230390,102,text/html
https://www.latimes.com/entertainment-arts/story/2019-11-19/broadway-american-utopia-slave-play-sound-inside,287514,169,text/html
https://www.latimes.com/health/la-he-col1-breast-cancer-brca-gene-latinas-20190425-htmlstory.html,305102,179,text/html
https://www.latimes.com/espanol/comida.rss,121639,0,application/xml
https://www.latimes.com/lifestyle/story/2023-01-20/la-affairs-i-wanted-a-green-card,255080,153,text/html
https://www.latimes.com/california/story/2023-03-01/legislators-propose-changes-to-californias-conservatorship-law,274698,171,text/html
